time;throughput;snd_responsetime;rcv_responsetime
378;1734.0;24.1710917177;13.4637090846
379;1593.0;26.0042610168;14.8835463122
380;1704.0;24.4854621603;14.5176631335
381;1626.0;25.3402274723;14.685510536
382;1699.0;24.5417635448;14.0906949372
383;1557.0;27.7532311954;14.9807622135
384;1677.0;25.5337526977;13.9786552952
385;1590.0;26.3187557952;14.8993946961
386;1721.0;24.2854724626;13.8121031387
387;1584.0;24.7044741184;15.1864933241
388;1728.0;23.9768852147;14.4476543383
389;1693.0;25.1029825335;13.7794509867
390;1576.0;26.5809731679;15.0540688432
391;1088.0;37.9840944986;21.7220133707
392;1253.0;35.4132472986;18.7006636414
393;1569.0;26.2053751533;15.3956014938
394;2033.0;20.773286025;11.7146364826
395;1802.0;22.2972147725;13.3260876255
396;1751.0;23.3877344941;13.9190141779
397;1670.0;25.0087198405;14.2363037194
398;1687.0;24.3029454842;14.2922335398
399;1733.0;23.8510986224;14.220623242
400;1537.0;25.8391196796;15.1991506174
401;1777.0;23.912277796;13.9927256453
402;1653.0;24.4460015018;15.0059406158
403;1735.0;23.3968410966;13.9360285965
404;1674.0;24.012889846;14.5298002426
405;779.0;50.3950589341;32.9704466756
406;129.0;252.293637444;135.284398905
407;2.0;7219.703583;7211.71378
408;2.0;7220.295494;7206.769451
409;2.0;7220.925088;7217.762031
410;2.0;7881.092846;7213.557192
411;2.0;7881.593047;7217.298615
412;2.0;7882.719634;7214.672256
413;7.0;7882.648434;2407.84475317
414;608.0;124.490377038;275.440002206
415;1660.0;26.8955975227;14.1250779549
416;1769.0;24.8509397133;12.8965414821
417;1660.0;25.2576901171;13.7465702543
418;1678.0;24.5849859093;14.3368822993
419;1672.0;25.1841660297;13.8544665023
420;1777.0;23.9642757479;13.9470269154
421;1623.0;26.3014318593;14.3469334949
422;1666.0;25.2628695727;14.0656683354
423;1715.0;24.5329384655;13.7648496511
424;1678.0;24.4610995727;14.6425473537
425;1683.0;24.8532481357;14.2330809412
426;1640.0;25.9181158944;14.3905919083
427;1734.0;23.8781122418;13.8374508303
428;1374.0;25.5978419848;14.4262261236
429;1743.0;28.8546654264;15.551503888
430;1589.0;25.4589107238;15.3886280385
431;1593.0;26.0314563876;14.5632599547
432;1277.0;35.0105834953;18.4550324617
433;2005.0;20.7234318588;11.9624967605
434;2030.0;21.0564339733;11.6393774152
