time;throughput;snd_responsetime;rcv_responsetime
284;1741.0;24.6546815884;13.4456919775
285;1725.0;25.0009434238;13.503935714
286;1686.0;25.7123995374;13.3999245907
287;1768.0;24.8246608769;13.423277663
288;1679.0;26.2092040932;13.6471005103
289;1635.0;24.5833512436;14.9439696253
290;1726.0;25.6116180554;13.4091155523
291;1694.0;25.711261311;13.6718831649
292;1708.0;25.2759892183;13.5895063535
293;1676.0;25.1675044814;13.6832704491
294;1637.0;25.9135217034;14.2189865104
295;1724.0;25.5081802857;14.045809608
296;1732.0;25.2067627187;13.4995106548
297;1740.0;24.9133552638;13.4241270612
298;1652.0;24.2182643109;14.2928043984
299;1701.0;26.2345180684;13.8655958134
300;1667.0;24.5423433249;14.1981390692
301;1636.0;26.2854203138;14.0311486269
302;1741.0;24.4639011419;14.3006378616
303;1673.0;26.0555127662;13.8220105004
304;1659.0;24.655476643;14.7458775378
305;1642.0;25.7533574117;14.4425232781
306;1720.0;25.2192180472;13.7073934164
307;1167.0;32.629088995;22.0817489883
308;1624.0;27.4951942191;13.5445698239
309;1629.0;25.335605592;15.3431014343
310;1688.0;25.628666094;13.7622710552
311;1586.0;27.2870614392;14.5501662962
312;1559.0;27.8129175057;14.9445757338
313;2015.0;21.384078411;11.7632232379
314;2034.0;21.0473135523;11.0642613218
315;1732.0;24.5345614441;14.1131591345
316;1784.0;24.2153064597;12.931896479
317;1706.0;25.0855452615;13.9300212009
318;1676.0;24.4200986453;13.8406794816
319;1790.0;25.4172176778;13.015626817
320;1755.0;24.3217295206;13.5996457161
321;1744.0;23.5425801891;13.6704106837
322;1747.0;25.0571389472;13.4419405474
323;1747.0;23.483635716;13.5465444726
324;1800.0;22.3947680753;14.164181124
325;1676.0;25.3008064875;14.137111847
326;1694.0;26.1877354499;13.329479928
327;1670.0;24.4977269856;14.7937677509
328;1699.0;25.0372758067;13.8172597736
329;1759.0;23.7851856108;13.7804112021
330;1786.0;23.5173300422;13.2644470981
331;1711.0;25.3342146237;13.7516352128
332;1701.0;24.4084396211;13.6851216622
333;1650.0;25.3729650814;15.0641764667
334;1706.0;24.1971049624;14.1456169826
335;1672.0;25.4366393737;14.1035766126
336;1676.0;25.1386662993;14.2744246458
337;1703.0;25.4661702328;13.5772734305
338;1692.0;24.4458830476;14.4253366284
339;1621.0;25.9122286784;14.702169312
340;1519.0;26.957153506;16.0069829369
341;1623.0;27.0157662813;14.4200625737
342;850.0;27.0219303405;17.9700519632
343;35.0;1173.88934583;562.334729217
344;13.0;1738.38423;250.486035571
345;1300.0;67.1370752742;38.7883895012
346;1756.0;24.4928637406;13.1500271068
347;1802.0;23.97044201;13.1535412623
348;1695.0;24.7627383345;14.1327318283
349;1647.0;24.9613915539;13.8148093973
350;1664.0;26.40135;14.1539079639
351;1744.0;25.2294869621;13.8306813474
352;1697.0;25.479459795;13.7762921981
353;1555.0;26.5706115019;14.6668752144
354;1739.0;25.1660723201;14.0507356512
